rank	System.II	System.I	direction	Sum.System.I	Sum.System.II	CooccurCounts	Pagel.p.value	P.value.System.I.dep	P.value.System.II.dep	Bonferroni	Benjamini.Hochberg
19	RM I	dXTPase	1	2159	18714	1839	4.03114686230504e-41	1.12927269572798e-31	3.75734842680328e-37	Y	Y
20	RM IV	dCTPdeaminase	1	251	8297	196	1.61187147952173e-38	2.23772118563512e-24	2.89070805458321e-33	Y	Y
21	RM I	darTG	1	967	18714	917	3.55160378255367e-36	8.28658063717803e-21	4.17453311830397e-37	Y	Y
22	Mokosh II	PsyrTA	1	1382	975	101	2.06341493947389e-35	1.46004355832321e-34	2.77848592284131e-06	Y	Y
23	PrrC	RM I	1	18714	427	422	4.04628089229635e-35	8.02677877505299e-34	1.69932886571126e-27	Y	Y
24	CRISPR I-E	RM II	-1	26131	17573	17476	6.11529237469838e-35	0.000100701396414176	1.04610192798071e-36	Y	Y
25	AbiE	DRT III	1	1497	5251	1116	3.69873404638614e-34	5.42716202271613e-30	1.48408643450629e-13	Y	Y
26	Retron I-C	Retron XII	1	474	2026	129	2.71918822689613e-32	4.8411965847439e-25	2.9282880542871e-22	Y	Y
27	RM IV	SoFic	1	308	8297	225	7.26132063148734e-31	8.35480071499091e-15	1.00558184141064e-24	Y	Y
28	RM III	RM IV	-1	8297	3335	1054	3.32394857348618e-29	1.38368884039994e-28	0.000828204355163412	Y	Y
29	CRISPR I-E	mza	1	249	17573	152	8.23010126106226e-26	0.553772793553475	1.32375544214741e-26	Y	Y
30	AbiQ	CRISPR I-E	1	17573	203	152	1.91549233556838e-25	1.24648124646416e-26	0.738427733816546	Y	Y
31	CRISPR I-E	DprA-PRTase	1	204	17573	134	2.87664580048156e-25	0.691508357395679	5.33101570946562e-26	Y	Y
32	CRISPR I-E	hhe	1	928	17573	669	4.67752669735131e-25	0.0796387853993185	2.29051168975918e-19	Y	Y
33	Dpd	RM I	-1	18714	1259	416	4.77842995797755e-25	3.32044840124807e-17	3.7913810764798e-24	Y	Y
34	RM III	ietAS	1	1979	3335	576	4.66978311916451e-23	1.24265091248987e-20	1.98001505413421e-17	Y	Y
35	CRISPR I-E	Retron V	1	205	17573	166	1.15988258445995e-22	0.394940016721506	1.18111316588503e-22	Y	Y
36	Dpd	RM II	1	26131	1259	1254	1.3251445128563e-21	0.62576531694497	1.8052952569293e-14	Y	Y
37	CRISPR I-E	RexAB	1	456	17573	404	2.48788754603099e-21	0.00835305979387286	6.60053972229924e-18	Y	Y
38	CRISPR I-E	Lit	1	336	17573	322	3.09500061198694e-21	0.828721387418911	2.32095114285594e-19	Y	Y
39	CRISPR I-E	Helicase-DUF2290	1	164	17573	103	4.73490416532738e-21	0.0379310042582824	5.54924723904683e-22	Y	Y
40	AbiH	CRISPR I-E	1	17573	221	171	1.05230274358517e-20	3.94151085262003e-22	0.773686704156464	Y	Y
41	Dnd_ABCDE	Dpd	-1	1259	1407	18	1.44784023222537e-20	1.29651069327442e-18	3.38414170113594e-11	Y	Y
42	CRISPR I-E	old	1	194	17573	137	2.29306471939544e-20	0.149107660319338	1.26571215721739e-20	Y	Y
