defense_system,unassigned,E2,E1,C,B22,B21,B1,A
2TM-1TM-TIR,0.00011476664116296863,,0.00015432098765432098,,0.0005809654589627126,0.00018091906886985888,0.0005259835893120135,0.0001698575623013273
AVAST III,0.00011476664116296863,,,,,,4.2078687144961075e-05,2.426536604304676e-05
Menshen,0.00011476664116296863,,,,5.281504172388296e-05,,0.0006311803071744162,0.00014559219625828057
CRISPR,7.651109410864575e-05,,,,,,,2.426536604304676e-05
Mokosh I,7.651109410864575e-05,,0.00015432098765432098,,0.00031689025034329775,0.0006633699191894826,0.00021039343572480537,0.00031544975855960785
Hydrolase-TM,7.651109410864575e-05,,0.000462962962962963,,0.0007394105841343615,0.00018091906886985888,0.0005259835893120135,0.0012860644002814783
upx,7.651109410864575e-05,,0.00015432098765432098,,,,,
Retron I-A,7.651109410864575e-05,,0.0007716049382716049,,0.0019013415020597867,,0.0010098884914790658,0.0025478634345199097
AbiEii,3.8255547054322874e-05,,,,,,0.00012623606143488322,
Rretron III-A,3.8255547054322874e-05,,0.00030864197530864197,,0.00015844512517164888,0.00018091906886985888,0.0006522196507468967,0.0003397151246026546
TerY-P,3.8255547054322874e-05,,,,,,2.1039343572480537e-05,0.0005581034189900755
hma,3.8255547054322874e-05,,,,,,0.0001683147485798443,0.0008007570794205431
ShosTA,3.8255547054322874e-05,,,,,,0.00018935409215232484,7.279609812914028e-05
BREX,3.8255547054322874e-05,,,,,,,4.853073208609352e-05
dGTPase,3.8255547054322874e-05,,,,,,,
PARIS II,3.8255547054322874e-05,,0.00015432098765432098,0.0012048192771084338,5.281504172388296e-05,6.030635628995296e-05,0.0004418262150220913,4.853073208609352e-05
Argonaute II,3.8255547054322874e-05,,,,,,0.0001683147485798443,0.0001213268302152338
GAO_29,3.8255547054322874e-05,,0.0007716049382716049,,5.281504172388296e-05,0.00018091906886985888,0.0033452556280244056,0.00026691902647351436
AVAST V,3.8255547054322874e-05,,,,0.00010563008344776593,,6.311803071744161e-05,0.00038824585668874816
Septu,,,0.00015432098765432098,,0.00026407520861941483,,0.0003787081843046497,4.853073208609352e-05
Druantia II,,,0.00015432098765432098,,,,,
dsr II,,,0.00015432098765432098,,,,4.2078687144961075e-05,0.00026691902647351436
GAO_20,,,0.00015432098765432098,,5.281504172388296e-05,0.0006030635628995297,0.0003155901535872081,0.0004853073208609352
CBASS III,,,,,0.00031689025034329775,,,
Nixl,,,,,5.281504172388296e-05,,4.2078687144961075e-05,
Wadjet III,,,,,5.281504172388296e-05,,,
BREX III,,,,,5.281504172388296e-05,,8.415737428992215e-05,2.426536604304676e-05
SspFGH,,,,,,,0.0011571638964864297,
Argonaute_solo,,,,,,,0.00077845571218178,
Retron IX,,,,,,,6.311803071744161e-05,0.0001213268302152338
Dazbog,,,,,,,4.2078687144961075e-05,4.853073208609352e-05
PbeABCD,,,,,,,2.1039343572480537e-05,
AVAST I,,,,,,,,2.426536604304676e-05
Abi2,,,,,,,,2.426536604304676e-05
