System,Direction,Frequency,Significance
dXTPase,-1,1,**
darTG,1,2,**
darTG,1,3,*
dsr I,1,1,**
gop_beta_cll,1,1,*
gop_beta_cll,-1,4,*
hhe,-1,1,*
hhe,1,7,**
hhe,-1,2,**
hhe,1,3,*
ietAS,1,3,**
ietAS,-1,4,**
ietAS,1,4,*
mza,1,4,**
mza,-1,3,*
old,1,1,*
old,1,3,**
ppl,1,4,**
ppl,1,5,*
qatABCD,1,1,**
qatABCD,-1,1,*
tmn,1,2,**
tmn,1,4,*
tmn,-1,1,*
3HP,1,0,**
AVAST II,1,0,**
AVAST IV,1,0,**
AbiD,1,0,*
BstA,-1,0,**
CBASS II,-1,0,*
CBASS II,-1,0,**
CRISPR I-F,-1,0,**
DprA-PRTase,-1,0,*
DprA-PRTase,-1,0,**
GAO_19,-1,0,**
GAO_29,-1,0,**
Helicase-DUF2290,-1,0,*
Helicase-DUF2290,-1,0,**
Kiwa,-1,0,**
Lamassu I,-1,0,*
Lamassu I,-1,0,**
PARIS,-1,0,**
PifA,-1,0,**
PrrC,-1,0,*
PrrC,-1,0,**
Pycsar,-1,0,*
Retron I-A,-1,0,*
Retron I-A,-1,0,**
Retron IV,-1,0,**
Retron V,-1,0,*
Retron V,-1,0,**
Retron XII,-1,0,**
Shedu,-1,0,**
SspABCD,-1,0,*
dCTPdeaminase,-1,0,**
darTG,-1,0,*
darTG,-1,0,**
dsr I,-1,0,**
ietAS,-1,0,*
mza,-1,0,*
mza,-1,0,**
old,-1,0,*
old,-1,0,**
ppl,-1,0,*
ppl,-1,0,**
qatABCD,-1,0,*
qatABCD,-1,0,**
tmn,-1,0,**
